"mc_x"	"mc_y"	"mc_num"
"1"	477	1033	1
"2"	491	1077	2
"3"	476	1135	3
"4"	468	279	4
"5"	311	1014	5
"6"	343	846	6
"7"	309	859	7
"8"	288	914	8
"9"	382	926	9
"10"	372	869	10
"11"	396	883	11
"12"	347	900	12
"13"	317	906	13
"14"	362	982	14
"15"	404	1021	15
"16"	444	928	16
"17"	397	959	17
"18"	420	966	18
"19"	321	962	19
"20"	153	976	20
"21"	303	1043	21
"22"	236	992	22
"23"	372	1165	23
"24"	388	1246	24
"25"	408	1208	25
"26"	463	1176	26
"27"	315	1144	27
"28"	452	1108	28
"29"	407	1104	29
"30"	345	1066	30
"31"	410	1041	31
"32"	378	1118	32
"33"	372	1074	33
"34"	404	1175	34
"35"	353	1213	35
"36"	320	1184	36
"37"	329	1108	37
"38"	264	1172	38
"39"	348	1152	39
"40"	336	1212	40
"41"	304	1106	41
"42"	291	1197	42
"43"	266	1113	43
"44"	772	725	44
"45"	603	663	45
"46"	645	634	46
"47"	629	292	47
"48"	589	423	48
"49"	599	373	49
"50"	562	419	50
"51"	446	513	51
"52"	492	428	52
"53"	542	444	53
"54"	503	501	54
"55"	510	548	55
"56"	539	521	56
"57"	469	491	57
"58"	535	489	58
"59"	473	464	59
"60"	593	574	60
"61"	568	463	61
"62"	610	507	62
"63"	627	488	63
"64"	718	342	64
"65"	749	370	65
"66"	678	418	66
"67"	670	341	67
"68"	664	394	68
"69"	707	489	69
"70"	701	460	70
"71"	744	417	71
"72"	805	369	72
"73"	825	398	73
"74"	796	454	74
"75"	785	427	75
"76"	792	345	76
"77"	563	742	77
"78"	590	739	78
"79"	566	816	79
"80"	530	807	80
"81"	679	710	81
"82"	668	802	82
"83"	589	808	83
"84"	637	773	84
"85"	618	820	85
"86"	701	797	86
"87"	713	760	87
"88"	841	772	88
"89"	347	381	89
"90"	411	397	90
"91"	398	451	91
"92"	311	359	92
"93"	330	414	93
"94"	269	339	94
"95"	287	389	95
"96"	268	413	96
"97"	342	441	97
"98"	289	457	98
"99"	124	365	99
"100"	101	363	100
"101"	51	345	101
"102"	40	398	102
"103"	153	331	103
"104"	112	316	104
"105"	145	260	105
"106"	195	296	106
"107"	145	303	107
"108"	115	299	108
"109"	47	316	109
"110"	37	253	110
"111"	76	301	111
"112"	83	228	112
"113"	67	268	113
"114"	27	294	114
"115"	144	67	115
"116"	126	140	116
"117"	107	57	117
"118"	104	88	118
"119"	145	27	119
"120"	169	47	120
"121"	208	113	121
"122"	150	117	122
"123"	175	129	123
"124"	174	203	124
"125"	208	145	125
"126"	250	70	126
"127"	202	56	127
"128"	272	510	128
"129"	220	582	129
"130"	1006	1072	130
"131"	974	1127	131
"132"	945	1142	132
"133"	983	1161	133
"134"	1045	1129	134
"135"	1094	844	135
"136"	1155	872	136
"137"	1077	921	137
"138"	1112	853	138
"139"	1048	869	139
"140"	1025	848	140
"141"	1231	807	141
"142"	1262	732	142
"143"	1294	822	143
"144"	1213	720	144
"145"	1227	783	145
"146"	1284	798	146
"147"	1196	777	147
"148"	1219	841	148
"149"	1243	750	149
"150"	1136	769	150
"151"	1131	737	151
"152"	1180	741	152
"153"	1058	770	153
"154"	1072	816	154
"155"	1107	728	155
"156"	1086	781	156
"157"	1034	747	157
"158"	1173	804	158
"159"	1143	805	159
"160"	1165	726	160
"161"	1193	812	161
"162"	1115	792	162
"163"	1155	965	163
"164"	1150	896	164
"165"	1279	858	165
"166"	1247	867	166
"167"	1198	900	167
"168"	1215	950	168
"169"	1290	906	169
"170"	1275	966	170
"171"	1195	965	171
"172"	1240	947	172
"173"	1232	893	173
"174"	1278	908	174
"175"	1353	875	175
"176"	1430	861	176
"177"	1418	823	177
"178"	1427	900	178
"179"	798	1083	179
"180"	720	1033	180
"181"	731	1081	181
"182"	830	1040	182
"183"	793	1028	183
"184"	902	1044	184
"185"	861	916	185
"186"	888	944	186
